Site,1km_square,bog,broadleaf,built,conifer,dwarf,rough,river,people_km2,grassland,lat,long,year,bait
Cloghcor Hill,H 5248,0,0.104554,0.032119,0.388631,0,0.32777,5187.795058,18.25745,0.467193,54.37800302,-7.200523089,1,sunflower and peanuts
Clonturkle,H 2328,0,0.095056,0.046179,0,0.078441,0.120382,0,36.013733,0.667172,54.20046669,-7.648321621,1,sunflower and peanuts
Cloonty Wood,H 3680,0,0,0.00891,0.777552,0.028535,0.076485,1494.534861,17.2966,0.185003,54.66683254,-7.442827632,1,sunflower and peanuts
Coagh Wood/Ely Lodge block,H 2047,0,0.032835,0.012925,0.06809,0.006764,0,3380.573996,20.16,0.826287,54.3712777,-7.693021024,1,sunflower and peanuts
Cold Brae,H 9527,0.283857,0.071882,0.014405,0.369179,0.009706,0.026228,1224.308393,1306.4935,0.239145,54.18321311,-6.545644201,1,sunflower and peanuts
Colebrooke estate,H 3845,0.006173,0.073645,0.007381,0,0.073292,0.065625,4260.693942,116.580699,0.839509,54.35228903,-7.416335542,1,sunflower and peanuts
Colin Glen,J 2870,0,0.048002,0.757429,0,0.058625,0,3074.522267,9.1005,0.135943,54.56211102,-6.021996387,1,sunflower and peanuts
Coolaveely 2,D 1337,0,0.015991,0,0.050748,0.006615,0,6458.832076,37.684949,0.926646,55.16723663,-6.227548391,1,sunflower and peanuts
Coolnasilagh Forest,H 4232,0.003293,0.136316,0.016806,0.235367,0,0.180584,3283.589843,36.916349,0.608217,54.23519679,-7.356646709,1,sunflower and peanuts
Cooltrain wood,H 2834,0,0.351301,0,0,0.040113,0.039529,0,44.007648,0.547029,54.25411894,-7.571151311,1,sunflower and peanuts
Copeland Reservoir,J 4292,0,0.073601,0.007536,0.204262,0.026094,0.033837,2879.552778,48.5919,0.688506,54.75586115,-5.795064371,1,sunflower and peanuts
Corcloghy/Beagh ,H 5646,0.056959,0.101289,0.037552,0.445739,0.02342,0.320097,4714.092599,26.526307,0.335041,54.35961471,-7.139350803,1,sunflower and peanuts
Corfracloghy,J 0414,0,0.041417,0.039073,0.286147,0.087174,0.070635,0,3732.20956,0.546188,54.06472521,-6.412319882,1,sunflower and peanuts
Corlatt Wood,H 3523,0.076998,0.672302,0,0.019033,0,0.128018,123.407432,243.835603,0.205947,54.15487243,-7.46503655,1,sunflower and peanuts
Cornakessagh/Lisneaskea forest,H 4041,0,0.211775,0,0.227972,0.014487,0.276059,1662.252169,5.64027,0.545765,54.31620435,-7.386114807,1,sunflower and peanuts
Corragunt Forest,H 5138,0.060293,0.207603,0.01786,0.092413,0.06934,0.469139,2703.927019,52.353901,0.547142,54.28827735,-7.217618336,1,sunflower and peanuts
