"gridid","prefix","number","Shape_Length","Shape_Area","OBJECTID","Join_ID","sum_Shape_Area","sum_Area_SQUAREKILOMETERS","Polygon_Count","X231","X243","X312","X324","X412","X512","X111","X112","X121","X142","X311","X313","X321","X322","X332","X333","X122","X211","X242","X421","X423","X522","X131","X411","X331","X521","X133","X511","X334","X124","X141","X222","X132","X123","NA.","total","artificial_surfaces","agricultural_surfaces","forested_and_semi_natural","wetlands","water_bodies","urban","forest","scrub","y","x"
"B81","B",81,40000,1e+08,7439,817,65679.5190436454,0.06567428812881,1,0,0,0,0,0,0,0,0.00065679519043645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00065679519043645,0.00065679519043645,0,0,0,0,0.00065679519043645,0,0,54.982261,-8.234316
"B81","B",81,40000,1e+08,7440,817,718535.591662381,0.718480475475741,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00718535591662381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00718535591662381,0,0.00718535591662381,0,0,0,0,0,0,54.982261,-8.234316
"B81","B",81,40000,1e+08,7441,817,5820100.15101388,5.81964605067318,4,0,0.0582010015101388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582010015101388,0,0.0582010015101388,0,0,0,0,0,0,54.982261,-8.234316
"B81","B",81,40000,1e+08,7442,817,590123.897409535,0.590077172127839,2,0,0,0.00590123897409535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00590123897409535,0,0,0.00590123897409535,0,0,0,0.00590123897409535,0,54.982261,-8.234316
"B81","B",81,40000,1e+08,7443,817,1088030.845669,1.08794843746596,3,0,0,0,0.01088030845669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01088030845669,0,0,0.01088030845669,0,0,0,0,0.01088030845669,54.982261,-8.234316
"B81","B",81,40000,1e+08,7444,817,5250781.88560134,5.25039617292553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525078188560134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525078188560134,0,0,0.0525078188560134,0,0,0,0,0,54.982261,-8.234316
"B81","B",81,40000,1e+08,7445,817,84023461.7111727,84.0171065304813,1,0,0,0,0,0.840234617111727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.840234617111727,0,0,0,0.840234617111727,0,0,0,0,54.982261,-8.234316
"B81","B",81,40000,1e+08,7446,817,2443286.39842751,2.44309891342176,5,0,0,0,0,0,0.0244328639842751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244328639842751,0,0,0,0,0.0244328639842751,0,0,0,54.982261,-8.234316
"B82","B",82,40000,1e+08,7548,828,2115909.64844894,2.115743353458,1,0,0,0,0,0,0,0,0.0211590964844894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211590964844894,0.0211590964844894,0,0,0,0,0.0211590964844894,0,0,55.072096,-8.234841
"B82","B",82,40000,1e+08,7549,828,441556.08556592,0.441521685624765,1,0,0,0,0,0,0,0,0,0.0044155608556592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044155608556592,0.0044155608556592,0,0,0,0,0,0,0,55.072096,-8.234841
"B82","B",82,40000,1e+08,7550,828,337396.552735993,0.33737087474581,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00337396552735993,0,0,0,0,0,0,0,0,0,0,0,0,0.00337396552735993,0.00337396552735993,0,0,0,0,0,0,0,55.072096,-8.234841
"B82","B",82,40000,1e+08,7551,828,35789.8445445012,0.035787250872812,1,0.00035789844544501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00035789844544501,0,0.00035789844544501,0,0,0,0,0,0,55.072096,-8.234841
"B82","B",82,40000,1e+08,7552,828,6393373.66011141,6.39287418748715,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0639337366011141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0639337366011141,0,0.0639337366011141,0,0,0,0,0,0,55.072096,-8.234841
"B82","B",82,40000,1e+08,7553,828,9274088.33861751,9.27336819140104,5,0,0.0927408833861751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0927408833861751,0,0.0927408833861751,0,0,0,0,0,0,55.072096,-8.234841
"B82","B",82,40000,1e+08,7554,828,1278590.16935866,1.27849518812874,2,0,0,0.0127859016935866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127859016935866,0,0,0.0127859016935866,0,0,0,0.0127859016935866,0,55.072096,-8.234841
"B82","B",82,40000,1e+08,7555,828,2029406.49568533,2.02924570190489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202940649568533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202940649568533,0,0,0.0202940649568533,0,0,0,0,0.0202940649568533,55.072096,-8.234841
"B82","B",82,40000,1e+08,7556,828,996940.550281706,0.996867251865819,2,0,0,0,0.00996940550281706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00996940550281706,0,0,0.00996940550281706,0,0,0,0,0.00996940550281706,55.072096,-8.234841
"B82","B",82,40000,1e+08,7557,828,3898270.14747282,3.89796063229203,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389827014747282,0,0,0,0,0,0,0,0,0,0,0.0389827014747282,0,0,0.0389827014747282,0,0,0,0,0,55.072096,-8.234841
"B82","B",82,40000,1e+08,7558,828,69419241.6841853,69.4140443959735,2,0,0,0,0,0.694192416841853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694192416841853,0,0,0,0.694192416841853,0,0,0,0,55.072096,-8.234841
"B82","B",82,40000,1e+08,7559,828,322796.028920769,0.322770570212789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00322796028920769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00322796028920769,0,0,0,0.00322796028920769,0,0,0,0,55.072096,-8.234841
"B82","B",82,40000,1e+08,7560,828,166601.935820227,0.166588665407539,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166601935820227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166601935820227,0,0,0,0.00166601935820227,0,0,0,0,55.072096,-8.234841
"B82","B",82,40000,1e+08,7561,828,2203407.41190444,2.20324472429374,3,0,0,0,0,0,0.0220340741190444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220340741190444,0,0,0,0,0.0220340741190444,0,0,0,55.072096,-8.234841
"B82","B",82,40000,1e+08,7562,828,1038485.38656138,1.03840315435022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103848538656138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103848538656138,0,0,0,0,0.0103848538656138,0,0,0,55.072096,-8.234841
"B83","B",83,40000,1e+08,7660,840,8525220.51075729,8.52457786070067,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852522051075729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852522051075729,0,0.0852522051075729,0,0,0,0,0,0,55.16193,-8.235369
"B83","B",83,40000,1e+08,7661,840,3231475.74072811,3.23123447511886,2,0,0.0323147574072811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323147574072811,0,0.0323147574072811,0,0,0,0,0,0,55.16193,-8.235369
"B83","B",83,40000,1e+08,7662,840,1637255.16427044,1.63713581203204,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0163725516427044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163725516427044,0,0,0.0163725516427044,0,0,0,0,0.0163725516427044,55.16193,-8.235369
"B83","B",83,40000,1e+08,7663,840,2323136.955163,2.32295874412037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232313695516299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232313695516299,0,0,0.0232313695516299,0,0,0,0,0.0232313695516299,55.16193,-8.235369
