prefix,number,gridid,X_centroid,Y_centroid,y,x,Field,Field1,Shape_Length,Shape_Area
C,6731,C6731,-7,55,55.126120999999998,-6.941770000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6732,C6732,-7,55,55.135103000000001,-6.941532000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6733,C6733,-7,55,55.144083999999999,-6.941294000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6734,C6734,-7,55,55.153066000000003,-6.941056000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6735,C6735,-7,55,55.162047999999999,-6.940818000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6736,C6736,-7,55,55.171030000000002,-6.940580000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6737,C6737,-7,55,55.180011999999998,-6.940342000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6738,C6738,-7,55,55.188994000000001,-6.940104000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6749,H6749,-7,54,54.389557000000003,-6.960811000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6750,H6750,-7,54,54.398539999999997,-6.960584000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6751,H6751,-7,54,54.407522999999998,-6.960357000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6752,H6752,-7,54,54.416505999999998,-6.960130000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6753,H6753,-7,54,54.425488999999999,-6.959902000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6754,H6754,-7,54,54.434472000000000,-6.959675000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6755,H6755,-7,54,54.443455000000000,-6.959447000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6756,H6756,-7,54,54.452438000000001,-6.959219000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6757,H6757,-7,54,54.461421000000001,-6.958991000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6758,H6758,-7,54,54.470404000000002,-6.958763000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6759,H6759,-7,54,54.479385999999998,-6.958535000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6760,H6760,-7,54,54.488368999999999,-6.958307000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6761,H6761,-7,54,54.497351999999999,-6.958078000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6762,H6762,-7,55,54.506335000000000,-6.957850000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6763,H6763,-7,55,54.515318000000001,-6.957621000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6764,H6764,-7,55,54.524301000000001,-6.957392000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6765,H6765,-7,55,54.533284000000002,-6.957163000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6766,H6766,-7,55,54.542267000000002,-6.956934000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6767,H6767,-7,55,54.551248999999999,-6.956705000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6768,H6768,-7,55,54.560231999999999,-6.956476000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6769,H6769,-7,55,54.569215000000000,-6.956246000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6770,H6770,-7,55,54.578198000000000,-6.956017000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6771,H6771,-7,55,54.587181000000001,-6.955787000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6772,H6772,-7,55,54.596162999999997,-6.955557000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6773,H6773,-7,55,54.605145999999998,-6.955327000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6774,H6774,-7,55,54.614128999999998,-6.955097000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6775,H6775,-7,55,54.623111000000002,-6.954867000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6776,H6776,-7,55,54.632094000000002,-6.954637000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6777,H6777,-7,55,54.641077000000003,-6.954406000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6778,H6778,-7,55,54.650058999999999,-6.954175000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6779,H6779,-7,55,54.659041999999999,-6.953945000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6780,H6780,-7,55,54.668025000000000,-6.953714000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6781,H6781,-7,55,54.677007000000003,-6.953483000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6782,H6782,-7,55,54.685989999999997,-6.953252000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6783,H6783,-7,55,54.694972999999997,-6.953021000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6784,H6784,-7,55,54.703955000000001,-6.952789000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6785,H6785,-7,55,54.712938000000001,-6.952558000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6786,H6786,-7,55,54.721919999999997,-6.952326000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6787,H6787,-7,55,54.730902999999998,-6.952094000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6788,H6788,-7,55,54.739885000000001,-6.951863000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6789,H6789,-7,55,54.748868000000002,-6.951631000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6790,H6790,-7,55,54.757849999999998,-6.951398000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6791,H6791,-7,55,54.766832999999998,-6.951166000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6792,H6792,-7,55,54.775815000000001,-6.950934000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6793,H6793,-7,55,54.784798000000002,-6.950701000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6794,H6794,-7,55,54.793779999999998,-6.950469000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6795,H6795,-7,55,54.802762999999999,-6.950236000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6796,H6796,-7,55,54.811745000000002,-6.950003000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6797,H6797,-7,55,54.820726999999998,-6.949770000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6798,H6798,-7,55,54.829709999999999,-6.949537000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6799,H6799,-7,55,54.838692000000002,-6.949304000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6800,C6800,-7,55,54.847538999999998,-6.933504000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6801,C6801,-7,55,54.856521000000001,-6.933267000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6802,C6802,-7,55,54.865502999999997,-6.933030000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6803,C6803,-7,55,54.874485999999997,-6.932792000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6804,C6804,-7,55,54.883468000000001,-6.932555000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6805,C6805,-7,55,54.892449999999997,-6.932318000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6806,C6806,-7,55,54.901432000000000,-6.932080000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6807,C6807,-7,55,54.910415000000000,-6.931842000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6808,C6808,-7,55,54.919396999999996,-6.931604000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6809,C6809,-7,55,54.928379000000000,-6.931366000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6810,C6810,-7,55,54.937361000000003,-6.931128000000000,0,0,4000.000000000000000,1000000.000000000000000
