prefix,number,gridid,y,x,Shape_Length,Shape_Area
R,40,R40,52.194163000000003,-8.804408000000000,40000.000000000000000,100000000.000000000000000
S,40,S40,52.195068999999997,-7.341836000000000,40000.000000000000000,100000000.000000000000000
C,41,C41,54.980455999999997,-7.297077000000000,40000.000000000000000,100000000.000000000000000
F,41,F41,54.060751000000003,-10.367566000000000,40000.000000000000000,100000000.000000000000000
G,41,G41,54.081117999999996,-8.840451000000000,40000.000000000000000,100000000.000000000000000
H,41,H41,54.082087999999999,-7.312345000000000,40000.000000000000000,100000000.000000000000000
M,41,M41,53.182645000000001,-8.822782000000000,40000.000000000000000,100000000.000000000000000
N,41,N41,53.183584000000003,-7.326802000000000,40000.000000000000000,100000000.000000000000000
Q,41,Q41,52.264946000000002,-10.270706000000001,40000.000000000000000,100000000.000000000000000
R,41,R41,52.284032000000003,-8.806034000000000,40000.000000000000000,100000000.000000000000000
S,41,S41,52.284941000000003,-7.340506000000000,40000.000000000000000,100000000.000000000000000
C,42,C42,55.070284999999998,-7.295503000000000,40000.000000000000000,100000000.000000000000000
G,42,G42,54.170957999999999,-8.842271000000000,40000.000000000000000,100000000.000000000000000
H,42,H42,54.171931000000001,-7.310856000000000,40000.000000000000000,100000000.000000000000000
M,42,M42,53.272499000000003,-8.824506000000000,40000.000000000000000,100000000.000000000000000
N,42,N42,53.273440999999998,-7.325391000000000,40000.000000000000000,100000000.000000000000000
R,42,R42,52.373899999999999,-8.807670000000000,40000.000000000000000,100000000.000000000000000
S,42,S42,52.374811999999999,-7.339168000000000,40000.000000000000000,100000000.000000000000000
C,43,C43,55.160113000000003,-7.293921000000000,40000.000000000000000,100000000.000000000000000
G,43,G43,54.260795999999999,-8.844101000000000,40000.000000000000000,100000000.000000000000000
H,43,H43,54.261772999999998,-7.309358000000000,40000.000000000000000,100000000.000000000000000
J,43,J43,54.243223000000000,-5.775438000000000,40000.000000000000000,100000000.000000000000000
M,43,M43,53.362350999999997,-8.826240000000000,40000.000000000000000,100000000.000000000000000
N,43,N43,53.363295999999998,-7.323973000000000,40000.000000000000000,100000000.000000000000000
R,43,R43,52.463766000000000,-8.809313000000000,40000.000000000000000,100000000.000000000000000
S,43,S43,52.464680999999999,-7.337823000000000,40000.000000000000000,100000000.000000000000000
V,43,V43,51.546438000000002,-10.234743000000000,40000.000000000000000,100000000.000000000000000
W,43,W43,51.565040000000003,-8.793257000000001,40000.000000000000000,100000000.000000000000000
C,44,C44,55.249938999999998,-7.292330000000000,40000.000000000000000,100000000.000000000000000
H,44,H44,54.351613000000000,-7.307853000000000,40000.000000000000000,100000000.000000000000000
J,44,J44,54.333002000000000,-5.770592000000000,40000.000000000000000,100000000.000000000000000
M,44,M44,53.452202000000000,-8.827983000000000,40000.000000000000000,100000000.000000000000000
N,44,N44,53.453150000000001,-7.322547000000000,40000.000000000000000,100000000.000000000000000
R,44,R44,52.553631000000003,-8.810966000000001,40000.000000000000000,100000000.000000000000000
S,44,S44,52.554549000000002,-7.336471000000000,40000.000000000000000,100000000.000000000000000
V,44,V44,51.636257999999998,-10.239157000000001,40000.000000000000000,100000000.000000000000000
W,44,W44,51.654919000000000,-8.794824999999999,40000.000000000000000,100000000.000000000000000
C,45,C45,55.339764000000002,-7.290729000000000,40000.000000000000000,100000000.000000000000000
H,45,H45,54.441451999999998,-7.306339000000000,40000.000000000000000,100000000.000000000000000
J,45,J45,54.422778999999998,-5.765720000000000,40000.000000000000000,100000000.000000000000000
L,45,L45,53.522080000000003,-10.337410000000000,40000.000000000000000,100000000.000000000000000
M,45,M45,53.542051000000001,-8.829734999999999,40000.000000000000000,100000000.000000000000000
N,45,N45,53.543002000000001,-7.321113000000000,40000.000000000000000,100000000.000000000000000
R,45,R45,52.643493999999997,-8.812627000000001,40000.000000000000000,100000000.000000000000000
S,45,S45,52.644415000000002,-7.335111000000000,40000.000000000000000,100000000.000000000000000
V,45,V45,51.726075000000002,-10.243594000000000,40000.000000000000000,100000000.000000000000000
W,45,W45,51.744796999999998,-8.796402000000000,40000.000000000000000,100000000.000000000000000
C,46,C46,55.429588000000003,-7.289120000000000,40000.000000000000000,100000000.000000000000000
H,46,H46,54.531289000000001,-7.304816000000000,40000.000000000000000,100000000.000000000000000
J,46,J46,54.512554999999999,-5.760821000000000,40000.000000000000000,100000000.000000000000000
L,46,L46,53.611862000000002,-10.342368000000000,40000.000000000000000,100000000.000000000000000
M,46,M46,53.631898999999997,-8.831497000000001,40000.000000000000000,100000000.000000000000000
N,46,N46,53.632854000000002,-7.319671000000000,40000.000000000000000,100000000.000000000000000
R,46,R46,52.733356000000001,-8.814297000000000,40000.000000000000000,100000000.000000000000000
S,46,S46,52.734279999999998,-7.333745000000000,40000.000000000000000,100000000.000000000000000
V,46,V46,51.815891000000001,-10.248054000000000,40000.000000000000000,100000000.000000000000000
W,46,W46,51.834673000000002,-8.797986000000000,40000.000000000000000,100000000.000000000000000
G,47,G47,54.620134999999998,-8.851523000000000,40000.000000000000000,100000000.000000000000000
H,47,H47,54.621124999999999,-7.303286000000000,40000.000000000000000,100000000.000000000000000
J,47,J47,54.602328999999997,-5.755895000000000,40000.000000000000000,100000000.000000000000000
M,47,M47,53.721746000000003,-8.833268000000000,40000.000000000000000,100000000.000000000000000
N,47,N47,53.722703000000003,-7.318222000000000,40000.000000000000000,100000000.000000000000000
R,47,R47,52.823217000000000,-8.815975999999999,40000.000000000000000,100000000.000000000000000
S,47,S47,52.824143999999997,-7.332371000000000,40000.000000000000000,100000000.000000000000000
V,47,V47,51.905704999999998,-10.252537000000000,40000.000000000000000,100000000.000000000000000
W,47,W47,51.924548000000001,-8.799579000000000,40000.000000000000000,100000000.000000000000000
G,48,G48,54.709966999999999,-8.853403999999999,40000.000000000000000,100000000.000000000000000
H,48,H48,54.710960000000000,-7.301746000000000,40000.000000000000000,100000000.000000000000000
J,48,J48,54.692101000000001,-5.750942000000000,40000.000000000000000,100000000.000000000000000
M,48,M48,53.811591000000000,-8.835049000000000,40000.000000000000000,100000000.000000000000000
N,48,N48,53.812551999999997,-7.316765000000000,40000.000000000000000,100000000.000000000000000
R,48,R48,52.913075999999997,-8.817664000000001,40000.000000000000000,100000000.000000000000000
S,48,S48,52.914006000000001,-7.330990000000000,40000.000000000000000,100000000.000000000000000
V,48,V48,51.995517999999997,-10.257044000000000,40000.000000000000000,100000000.000000000000000
W,48,W48,52.014420999999999,-8.801180000000000,40000.000000000000000,100000000.000000000000000
H,49,H49,54.800792999999999,-7.300199000000000,40000.000000000000000,100000000.000000000000000
J,49,J49,54.781872000000000,-5.745961000000000,40000.000000000000000,100000000.000000000000000
M,49,M49,53.901434999999999,-8.836840000000000,40000.000000000000000,100000000.000000000000000
N,49,N49,53.902399000000003,-7.315300000000000,40000.000000000000000,100000000.000000000000000
R,49,R49,53.002934000000003,-8.819361000000001,40000.000000000000000,100000000.000000000000000
S,49,S49,53.003867000000000,-7.329602000000000,40000.000000000000000,100000000.000000000000000
V,49,V49,52.085329000000002,-10.261574000000000,40000.000000000000000,100000000.000000000000000
W,49,W49,52.104292999999998,-8.802790000000000,40000.000000000000000,100000000.000000000000000
X,49,X49,52.105195999999999,-7.343160000000000,40000.000000000000000,100000000.000000000000000
C,50,C50,54.889625000000002,-7.142803000000000,40000.000000000000000,100000000.000000000000000
F,50,F50,53.973875999999997,-10.210184000000000,40000.000000000000000,100000000.000000000000000
G,50,G50,53.992243999999999,-8.686173999999999,40000.000000000000000,100000000.000000000000000
H,50,H50,53.991276999999997,-7.161360000000000,40000.000000000000000,100000000.000000000000000
M,50,M50,53.093725999999997,-8.671794000000000,40000.000000000000000,100000000.000000000000000
N,50,N50,53.092790000000001,-7.178933000000000,40000.000000000000000,100000000.000000000000000
Q,50,Q50,52.177855000000001,-10.120037999999999,40000.000000000000000,100000000.000000000000000
R,50,R50,52.195068999999997,-8.658163999999999,40000.000000000000000,100000000.000000000000000
S,50,S50,52.194163000000003,-7.195592000000000,40000.000000000000000,100000000.000000000000000
C,51,C51,54.979452999999999,-7.140890000000000,40000.000000000000000,100000000.000000000000000
F,51,F51,54.063659999999999,-10.214950999999999,40000.000000000000000,100000000.000000000000000
G,51,G51,54.082087999999999,-8.687654999999999,40000.000000000000000,100000000.000000000000000
H,51,H51,54.081117999999996,-7.159549000000000,40000.000000000000000,100000000.000000000000000
M,51,M51,53.183584000000003,-8.673197999999999,40000.000000000000000,100000000.000000000000000
N,51,N51,53.182645000000001,-7.177218000000000,40000.000000000000000,100000000.000000000000000
Q,51,Q51,52.267671999999997,-10.124321999999999,40000.000000000000000,100000000.000000000000000
R,51,R51,52.284941000000003,-8.659494000000000,40000.000000000000000,100000000.000000000000000
S,51,S51,52.284032000000003,-7.193966000000000,40000.000000000000000,100000000.000000000000000
C,52,C52,55.069279000000002,-7.138967000000000,40000.000000000000000,100000000.000000000000000
F,52,F52,54.153441999999998,-10.219742999999999,40000.000000000000000,100000000.000000000000000
G,52,G52,54.171931000000001,-8.689144000000001,40000.000000000000000,100000000.000000000000000
H,52,H52,54.170957999999999,-7.157729000000000,40000.000000000000000,100000000.000000000000000
M,52,M52,53.273440999999998,-8.674609000000000,40000.000000000000000,100000000.000000000000000
N,52,N52,53.272499000000003,-7.175494000000000,40000.000000000000000,100000000.000000000000000
Q,52,Q52,52.357486000000002,-10.128628000000001,40000.000000000000000,100000000.000000000000000
R,52,R52,52.374811999999999,-8.660831999999999,40000.000000000000000,100000000.000000000000000
S,52,S52,52.373899999999999,-7.192330000000000,40000.000000000000000,100000000.000000000000000
C,53,C53,55.159103000000002,-7.137033000000000,40000.000000000000000,100000000.000000000000000
G,53,G53,54.261772999999998,-8.690642000000000,40000.000000000000000,100000000.000000000000000
H,53,H53,54.260795999999999,-7.155899000000000,40000.000000000000000,100000000.000000000000000
J,53,J53,54.240295000000003,-5.622161000000000,40000.000000000000000,100000000.000000000000000
L,53,L53,53.345343000000000,-10.177530000000001,40000.000000000000000,100000000.000000000000000
M,53,M53,53.363295999999998,-8.676026999999999,40000.000000000000000,100000000.000000000000000
N,53,N53,53.362350999999997,-7.173760000000000,40000.000000000000000,100000000.000000000000000
R,53,R53,52.464680999999999,-8.662177000000000,40000.000000000000000,100000000.000000000000000
S,53,S53,52.463766000000000,-7.190687000000000,40000.000000000000000,100000000.000000000000000
V,53,V53,51.549095000000001,-10.090673000000001,40000.000000000000000,100000000.000000000000000
W,53,W53,51.565927000000002,-8.649039999999999,40000.000000000000000,100000000.000000000000000
C,54,C54,55.248925999999997,-7.135088000000000,40000.000000000000000,100000000.000000000000000
G,54,G54,54.351613000000000,-8.692147000000000,40000.000000000000000,100000000.000000000000000
H,54,H54,54.350633000000002,-7.154059000000000,40000.000000000000000,100000000.000000000000000
J,54,J54,54.330064999999998,-5.616982000000000,40000.000000000000000,100000000.000000000000000
L,54,L54,53.435138000000002,-10.182119999999999,40000.000000000000000,100000000.000000000000000
M,54,M54,53.453150000000001,-8.677453000000000,40000.000000000000000,100000000.000000000000000
N,54,N54,53.452202000000000,-7.172017000000000,40000.000000000000000,100000000.000000000000000
R,54,R54,52.554549000000002,-8.663529000000000,40000.000000000000000,100000000.000000000000000
S,54,S54,52.553631000000003,-7.189034000000000,40000.000000000000000,100000000.000000000000000
V,54,V54,51.638922999999998,-10.094803000000001,40000.000000000000000,100000000.000000000000000
W,54,W54,51.655808000000000,-8.650323000000000,40000.000000000000000,100000000.000000000000000
C,55,C55,55.338748000000002,-7.133132000000000,40000.000000000000000,100000000.000000000000000
